"","time","seas1","seas2","seas3","seas4","seas5","seas6"
"60",59,0.131475023609403,0.47843987833475,0.34213444394076,0.0432436326784051,0.000336240499674489,0.0043707809370069
"61",60,0.100794183369268,0.449191755878315,0.385902997005805,0.0609497160600916,0.000760474617807927,0.00240087306871235
"62",61,0.0751626401065222,0.412845479618844,0.42588396320454,0.0833141873631569,0.00156009547086437,0.00123363423607226
"63",62,0.0544295075162015,0.371341246903438,0.460021958634295,0.110660548183495,0.00296347895725904,0.000583259805311565
"64",63,0.0381979490927759,0.32676252337465,0.486466940452926,0.143035967140728,0.00528852134826882,0.00024809859065089
"65",64,0.0259143055858837,0.281161644472424,0.503740826334303,0.180136154699109,0.00895255663457596,9.45122737036068e-05
"66",65,0.0169457007359005,0.236416230314281,0.510861690034244,0.221262658628932,0.014469259694828,4.44605918133312e-05
"67",66,0.0106437365389542,0.194120395204398,0.507421551816254,0.265314968858847,0.0224316252860659,6.77222954800134e-05
"68",67,0.00639425589837582,0.155510788676597,0.49361772683205,0.310817453862083,0.033481014420586,0.000178760310307767
"69",68,0.0036531726625844,0.121427468071254,0.470237731456861,0.355981128576588,0.0482622681292382,0.000438231103474435
"70",69,0.00196836904940718,0.0923096026461106,0.438597747579516,0.398800253859085,0.0673648886111579,0.000959138254722884
"71",70,0.000987660772397376,0.0682260083926561,0.400434646227907,0.437183766092443,0.091250288598286,0.00191762991631091
"72",71,0.000453098809905661,0.0489398075885785,0.357752747145617,0.469120360330573,0.120165814904161,0.00356817122116417
"73",72,0.00018571912733275,0.0339964208964224,0.31264330130286,0.492859239997726,0.154056338346855,0.00625898032880442
"74",73,7.02305785277998e-05,0.0228099801652927,0.267118216080303,0.50706501340358,0.192498321889208,0.0104382378830885
"75",74,4.40318721986966e-05,0.0147366358602074,0.222977233251454,0.510927526948477,0.23466789307177,0.0166466789958921
"76",75,9.08722327398899e-05,0.00913393321690701,0.181709936267251,0.504225258515148,0.279343746640621,0.0254962531273323
"77",76,0.000239156265581958,0.00540625578310049,0.144432589074568,0.48734226881521,0.324944878709115,0.0376348513524248
"78",77,0.000564893027062908,0.00303633634614483,0.111859806468629,0.46123871069046,0.369603152453527,0.0536971010141765
"79",78,0.00119928929882122,0.00160283524715993,0.0843110559793438,0.427374896368939,0.411270695342623,0.0742412277631124
"80",79,0.00234098079477804,0.000783992353510704,0.0617519748277241,0.387588950115495,0.447862100461432,0.0996720014470603
"81",80,0.00427209649873428,0.000348157491630873,0.0438683893472135,0.343931567285458,0.477427910920587,0.130151878456376
"82",81,0.00737179610383561,0.000137559368935332,0.0301563417944617,0.298485704907224,0.498331562225474,0.165517035600069
"83",82,0.0121183950457665,5.41984929600365e-05,0.0200048000906812,0.253210077891825,0.509390908507072,0.205221619971695
"84",83,0.0190776378841201,5.03033332826984e-05,0.0127646474740095,0.209817132568803,0.509973660915194,0.248316617824591
"85",84,0.0288770390724154,0.000123430685752359,0.00780373954411355,0.169685851746316,0.500046383976191,0.293463554975212
"86",85,0.0421662911145497,0.000316210241240693,0.00454802869323024,0.133809391305154,0.480177049905437,0.338983028740388
"87",86,0.0595637401076855,0.000720733358915045,0.00250875592364091,0.102777548326672,0.451491150874604,0.382938071408482
"88",87,0.0815889286716399,0.00148758604400741,0.00129571005160676,0.0767940607545607,0.415581369233822,0.423252345244363
"89",88,0.108581326248556,0.00283948042197323,0.000616600005870891,0.0557286186066935,0.374371005661705,0.457862969055202
"90",89,0.140610215650857,0.00508759180313315,0.000264433126633964,0.0391986178590288,0.329939446706578,0.484899694853768
"91",90,0.177397702993842,0.00864223290490422,0.000101267897896896,0.026658689865229,0.284346283612819,0.502853822725308
"92",91,0.218273588800132,0.0140107270269609,4.54793178303632e-05,0.0174792685247646,0.239485312077692,0.51070562425262
"93",92,0.262165034644612,0.0217813623246122,6.36547618843646e-05,0.011011260830879,0.196973303553049,0.508005383884964
"94",93,0.307621061333282,0.0325934134686145,0.000167134050419534,0.00663678480498857,0.158073608080954,0.494907998261741
"95",94,0.352871878616027,0.0470932306914178,0.000413193720860181,0.00380597481751745,0.123654588663209,0.472161133490969
"96",95,0.395923046433287,0.065876396219848,0.000910875504369068,0.00205985429516703,0.0941828871647971,0.441046940382532
"97",96,0.434684467160463,0.0894159484159383,0.00183145888448583,0.00103927593717839,0.0697515214295273,0.403277328172407
"98",97,0.467133325587151,0.117977203583643,0.00342337584906935,0.000480131329247326,0.0501422836501392,0.360843680000751
